"as_of_date","centre_name","country","locality","is_service_facility","is_genome_centre","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-21","Aalborg","Denmark","Nordjylland, Denmark","None","None","57.028774,9.953613","1","0","1","0","0","0","0","0"
"2010-03-21","Academic Medical Center","Netherlands","Noord-Holland, Netherlands","None","True","52.2940022416,4.95818674564","2","1","0","0","0","0","1","0"
"2010-03-21","Allan Wilson Centre Genome Service","New Zealand","Massey University, Palmerston North, New Zealand","True","None","-40.3867624885,175.617957115","1","0","1","0","0","0","0","0"
"2010-03-21","Ambry Genetics","United States","CA, United States","True","None","33.5934591835,-117.725200653","3","0","2","0","0","0","0","0"
"2010-03-21","Ankara University","Turkey","Ankara, Turkey","None","None","39.909736,32.871094","1","1","0","0","0","0","0","0"
"2010-03-21","ARK-Genomics Roslin Institute","United Kingdom","Midlothian, United Kingdom","None","None","55.863119,-3.154283","1","0","1","0","0","0","0","0"
"2010-03-21","Australian Genome Research Facility","Australia","QLD, Australia","True","False","-27.499412,153.012664","3","1","2","0","0","0","0","0"
"2010-03-21","Australian National University","Australia","ACT, Australia","None","None","-35.2765763518,149.120411039","2","1","1","0","0","0","0","0"
"2010-03-21","Babraham Institute","United Kingdom","Cambridgeshire, United Kingdom","None","None","52.133524,0.204132","1","0","1","0","0","0","0","0"
"2010-03-21","Barts Genome Centre","United Kingdom","Greater London, United Kingdom","None","None","51.521562,-0.101624","1","0","1","0","0","0","0","0"
"2010-03-21","Baseclear","Netherlands","Zuid-Holland, Netherlands","None","None","52.167457,4.474525","1","0","1","0","0","0","0","0"
"2010-03-21","BaseClear BV","Netherlands","Zuid-Holland, Netherlands","True","False","52.1658774895,4.46534156799","1","0","1","0","0","0","0","0"
"2010-03-21","Baylor  University Medical Center at Dallas","United States","TX, United States","None","None","32.7875631534,-96.7782211304","1","0","0","0","0","0","1","0"
"2010-03-21","Beckman Coulter Genomics (formerly Agencourt)","United States","MA, United States","True","True","42.5765964028,-70.9157180786","6","3","1","0","0","0","2","0"
"2010-03-21","Beijing Institute of Genomics","China","Beijing, China","True","True","39.9775147302,116.387357712","15","1","5","0","0","0","9","0"
"2010-03-21","BGI (formerly Beijing Genomics Institute)","China","广东省, China","None","True","22.59119,114.264035","32","1","30","0","0","0","1","0"
"2010-03-21","biocant","Portugal","Coimbra, Portugal","True","None","40.3481751222,-8.61201095162","1","1","0","0","0","0","0","0"
"2010-03-21","Biodiversity Institute of Ontario","Canada","ON, Canada","None","None","43.5337404796,-80.2371883392","1","1","0","0","0","0","0","0"
"2010-03-21","Biopolymers facility at Harvard","United States","MA, United States","True","True","42.33819738,-71.1027431488","2","0","2","0","0","0","0","0"
"2010-03-21","bmr-genomics","Italy","Veneto, Italy","None","None","45.413696,11.892915","1","1","0","0","0","0","0","0"
"2010-03-21","Broad Institute","United States","MA, United States","None","True","42.365013,-71.088066","109","10","89","0","0","0","8","0"
"2010-03-21","Burnham Institute for Biotechnology","United States","FL, United States","None","None","28.3962327117,-81.2713623047","1","0","0","0","0","0","1","0"
"2010-03-21","Cambridge Research Institute","United Kingdom","Cambridgeshire, United Kingdom","None","True","52.177195,0.136213","5","0","3","0","0","0","0","0"
"2010-03-21","Canada's Michael Smith Genome Sciences Centre","Canada","Vancouver, BC, Canada","True","True","49.2622035717,-123.117599487","16","0","14","0","0","0","2","0"
"2010-03-21","Case Comprehensive Cancer Center High Throughput Sequencing Core Facility","United States","OH, United States","True","False","41.504527854,-81.6056728363","1","0","1","0","0","0","0","0"
"2010-03-21","CEA","France","Ile-de-France, France","None","None","48.850258,2.373047","1","0","1","0","0","0","0","0"
"2010-03-21","Ceinge - Biotecnologie Avanzate","Italy","Campania, Italy","True","None","40.8827320993,14.2121393683","1","1","0","0","0","0","0","0"
"2010-03-21","Center for Advanced Studies, Research and Development in Sardinia","Italy","Sardegna, Italy","False","None","38.991,8.937","1","0","1","0","0","0","0","0"
"2010-03-21","Centre for Genomic Regulation","Spain","Barcelona, Spain","None","None","41.376809,2.197266","3","1","2","0","0","0","0","0"
"2010-03-21","Centre for Genomic Research","United Kingdom","Liverpool, United Kingdom","True","True","53.4071782933,-2.96315431595","7","2","0","0","0","0","3","0"
"2010-03-21","Centro Avançado de Tecnologias em Genômica","Brazil","SP, Brazil","True","False","-23.566505,-46.7276","1","1","0","0","0","0","0","0"
"2010-03-21","Children's Hospital Boston","United States","MA, United States","True","None","42.3367540005,-71.1036872864","1","0","0","0","0","0","1","0"
"2010-03-21","Children's Hospital of Philadelphia Nucleic Acid Core Facility","United States","PA, United States","True","False","39.9473681712,-75.1957726479","5","0","0","0","0","0","2","0"
"2010-03-21","Children’s Hospital Boston Molecular Genetics Core Facility","United States","MA, United States","None","None","42.340592,-71.092873","1","0","0","0","0","0","1","0"
"2010-03-21","CNIO","Spain","Comunidad de Madrid, Spain","None","False","40.4765702944,-3.69418501854","1","0","1","0","0","0","0","0"
"2010-03-21","CoFactor Genomics","United States","MO, United States","True","False","38.62941,-90.217495","4","0","2","0","0","0","2","0"
"2010-03-21","Core Facilities for Biomedical Sciences (Campus), Chinese University of Hong Kong","Hong Kong","Centralized Science Laboratories Building, Chinese Univ. of Hong Kong, Hong Kong","True","False","22.4189234357,114.208213091","1","1","0","0","0","0","0","0"
"2010-03-21","Cornell University Life Sciences Core Laboratories Center","United States","NY, United States","None","None","42.448605,-76.47995","1","0","1","0","0","0","0","0"
"2010-03-21","Covance Genomics Laboratory","United States","WA, United States","True","False","47.6225952637,-122.33757019","2","0","2","0","0","0","0","0"
"2010-03-21","Creative Genomics","United States","NY, United States","None","None","40.918507,-73.063803","2","1","1","0","0","0","0","0"
"2010-03-21","CRIBI - University of Padova","Italy","Veneto, Italy","None","None","45.408454,11.876564","1","0","0","0","0","0","1","0"
"2010-03-21","CSHL","United States","NY, United States","None","None","40.853553,-73.447723","13","1","12","0","0","0","0","0"
"2010-03-21","Dana Farber Cancer Institute","United States","MA, United States","True","None","42.336976,-71.106606","2","0","1","0","0","0","0","0"
"2010-03-21","DeCode","Iceland","Westland, Iceland","None","None","64.12499,-21.862793","2","0","2","0","0","0","0","0"
"2010-03-21","Delaware Biotechnology Institute","United States","DE, United States","True","True","39.677904,-75.734918","3","0","1","0","0","0","0","0"
"2010-03-21","Department of Biochemistry, University of Cambridge","United Kingdom","Cambridgeshire, United Kingdom","None","None","52.200874,0.119476","1","1","0","0","0","0","0","0"
"2010-03-21","Department of Human Genetics at Radboud University Nijmegen Medical Center","Netherlands","Gelderland, Netherlands","None","None","51.839172,5.866699","2","1","0","0","0","0","1","0"
"2010-03-21","DKFZ","Germany","Baden-Württemberg, Germany","None","None","49.421457,8.675187","1","1","0","0","0","0","0","0"
"2010-03-21","Dna Array Facility Lausanne","Switzerland","Vaud, Switzerland","None","None","46.520248831,6.57514572144","2","0","1","0","0","0","0","0"
"2010-03-21","DNA Core Facility, University of Missouri","United States","Columbia, MO, United States","True","False","38.942938482,-92.323114872","4","0","2","0","0","0","0","0"
"2010-03-21","DNA Technologies Laboratory","Canada","SK, Canada","None","None","52.131802,-106.624718","2","1","1","0","0","0","0","0"
"2010-03-21","DNAVision Agrifood","Belgium","Région Wallonne, Belgium","True","True","50.6111317133,5.59204101562","5","0","0","0","0","0","0","0"
"2010-03-21","DNAVision SA","Belgium","Région Wallonne, Belgium","True","True","50.4730204101,4.46954727173","4","2","1","1","0","0","0","0"
"2010-03-21","DOE Joint Genome Institute","United States","CA, United States","True","True","37.931708,-122.02167","20","8","12","0","0","0","0","0"
"2010-03-21","DSTL","United Kingdom","Wiltshire, United Kingdom","None","None","51.1320834314,-1.70606946893","1","1","0","0","0","0","0","0"
"2010-03-21","Duke IGSP Sequencing Core Facility","United States","NC, United States","True","True","35.9988407839,-78.9451789856","5","1","3","0","0","0","1","0"
"2010-03-21","EdgeBio","United States","MD, United States","None","None","39.143508,-77.188396","1","0","0","0","0","0","1","0"
"2010-03-21","EMBL","Germany","Baden-Württemberg, Germany","None","None","49.404271,8.696365","1","0","1","0","0","0","0","0"
"2010-03-21","Emory GRA Genome Center","United States","Atlanta, United States","True","True","33.7958217465,-84.3232226372","2","1","1","0","0","0","0","0"
"2010-03-21","EnGenCore at USC","United States","SC, United States","True","True","33.9971733558,-81.0344696045","2","1","0","0","0","0","0","0"
"2010-03-21","ErasmusMC","Netherlands","Zuid-Holland, Netherlands","True","True","51.9109201904,4.46989059448","5","0","3","0","0","0","0","0"
"2010-03-21","Estonian University for Life Sciences","Estonia","Tartu, Estonia","False","False","58.3932784301,26.6883659363","1","0","0","0","0","0","1","0"
"2010-03-21","ETH Zürich, D-BSSE","Switzerland","Basel-Stadt, Switzerland","True","False","47.5664063963,7.60206699371","2","0","2","0","0","0","0","0"
"2010-03-21","Eureka genomics CA","United States","CA, United States","None","None","38.006747,-122.259679","1","0","1","0","0","0","0","0"
"2010-03-21","Eureka Genomics TX","United States","TX, United States","None","None","29.752605,-95.37077","1","0","1","0","0","0","0","0"
"2010-03-21","Eurofins","Germany","Bayern, Germany","None","None","48.081749,11.994324","1","1","0","0","0","0","0","0"
"2010-03-21","Expression Analysis","United States","NC, United States","None","None","35.929093,-78.903809","1","0","1","0","0","0","0","0"
"2010-03-21","Fasteris","Switzerland","Genève, Switzerland","None","None","46.170559,6.108398","1","0","1","0","0","0","0","0"
"2010-03-21","febit","Germany","Baden-Württemberg, Germany","True","True","49.4214932989,8.67445170879","2","0","0","0","0","0","2","0"
"2010-03-21","Finnish DNA Microarray Centre","Finland","Länsi-Suomi, Finland","None","None","60.449218,22.293084","1","0","0","0","0","0","1","0"
"2010-03-21","Food and Environment Research Agency","United Kingdom","North Yorkshire, United Kingdom","True","False","54.0182708504,-0.968882559682","1","1","0","0","0","0","0","0"
"2010-03-21","Fritz Lipmann Institute","Germany","Thüringen, Germany","None","None","50.904115,11.563797","3","1","2","0","0","0","0","0"
"2010-03-21","Functional Genomics centre Zurich","Switzerland","Zürich, Switzerland","None","None","47.398001,8.544273","1","1","0","0","0","0","0","0"
"2010-03-21","Gachon University of Medicine and Science","South Korea","경기도, South Korea","None","None","37.4446080249,126.733474731","2","0","1","0","0","0","1","0"
"2010-03-21","GATC","Germany","Baden-Württemberg, Germany","True","True","47.671066,9.154515","5","2","2","1","0","0","0","0"
"2010-03-21","Genepool - University of Edinburgh","United Kingdom","City of Edinburgh, United Kingdom","False","False","55.923299,-3.172469","4","1","2","0","0","0","1","0"
"2010-03-21","GeneWorks","Australia","SA, Australia","True","True","-34.905572,138.570256","2","0","2","0","0","0","0","0"
"2010-03-21","Genome Institute of Singapore","Singapore","Singapore, Singapore","None","None","1.30256160078,103.792562485","11","1","6","0","0","0","4","0"
