"as_of_date","centre_name","country","locality","is_service_facility","is_genome_centre","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2013-07-19"," Bioinformatic Center for Health Research,State Key Laboratory of Cardiovascular Diseases China","China","Beijing, China","True","None","40.0034238932,116.352081299","1","0","0","1","0","0","0","0"
"2013-07-19","""G.Prodi"" Cancer Research Center","Italy","Emilia-Romagna, Italy","True","True","44.492307616,11.3611131907","1","0","0","1","0","0","0","0"
"2013-07-19","Aalborg University","Denmark","Nordjylland, Denmark","False","False","57.028774,9.953613","1","0","0","1","0","0","0","0"
"2013-07-19","ABi SOLiD 5500xl","Hungary","Csongrád, Hungary","True","True","46.2443397672,20.1660597324","2","0","0","0","0","0","2","0"
"2013-07-19","AC-Gen Reading Life","Spain","Valladolid , Spain","True","True","41.6482883126,-4.75433349609","1","0","0","0","0","1","0","0"
"2013-07-19","Academic Medical Center","Netherlands","Noord-Holland, Netherlands","None","True","52.2940022416,4.95818674564","2","1","0","0","0","0","1","0"
"2013-07-19","ACGT Sdn Bhd","Malaysia","WP Kuala Lumpur, Malaysia","False","True","3.04686131936,101.6872859","5","1","2","2","0","0","0","0"
"2013-07-19","ACHRI Genomics and Bioinformatics","Canada","AB, Canada","True","True","51.0659962226,-114.133701324","3","0","0","0","0","1","2","0"
"2013-07-19","Advanced Center for Treatment, Research and Education in Cancer (ACTREC)","India","Maharashtra, India","False","False","19.0647138365,73.0632019043","1","0","0","1","0","0","0","0"
"2013-07-19","Agricultural Genetic Engineering Research Institute","Egypt","Giza, Egypt","False","None","30.024469636,31.2028992176","1","0","0","0","0","0","1","0"
"2013-07-19","Agricultural Genetic Engineering Research Institute","Egypt","Giza, Egypt","False","None","30.024469636,31.2028992176","2","0","0","0","0","0","2","0"
"2013-07-19","AgriLife Genomics and Bioinformatics Services Facility","United States","TX, United States","True","True","30.6116735593,-96.3535952568","5","1","2","1","0","0","0","1"
"2013-07-19","AITbiotech Pte Ltd","Singapore","Singapore, Singapore","True","True","1.28975464832,103.788528442","5","0","0","1","1","1","1","0"
"2013-07-19","Akershus University Hospital","Norway","Lørenskog, Norway","False","False","59.9327155327,10.9934198856","1","0","0","0","0","1","0","0"
"2013-07-19","Alacris Theranostics GmbH","Germany","Berlin, Germany","True","False","52.450831123,13.2982635498","1","0","0","1","0","0","0","0"
"2013-07-19","Albert Einstein College of Medicine, Epigenomics Shared Facility","United States","NY, United States","True","False","40.8525140265,-73.8460636139","4","1","0","2","1","0","0","0"
"2013-07-19","Albert Einstein College of Medicine, Genomics Core","United States","NY, United States","True","False","40.8515726512,-73.8456559181","1","0","1","0","0","0","0","0"
"2013-07-19","Almac Diagnostics","United Kingdom","Northern Ireland, United Kingdom","True","False","54.4430942649,-6.42404079437","1","0","0","0","1","0","0","0"
"2013-07-19","Ambry Genetics","United States","CA, United States","True","None","33.5934591835,-117.725200653","3","0","2","1","0","0","0","0"
"2013-07-19","Amplexa Genetics A/S","Denmark","Syddanmark, Denmark","True","None","55.4053368751,10.3875732422","1","0","0","0","0","1","0","0"
