"as_of_date","centre_name","country","is_service_facility","location","number_sequencers","number_454","number_ga2","number_hiseq","number_miseq","number_ion_torrent","number_solid","number_pacbio"
"2010-03-17","Aalborg","Denmark","None","57.028774,9.953613","1","0","1","0","0","0","0","0"
"2010-03-17","Allan Wilson Centre Genome Service","New Zealand","True","-40.3867624885,175.617957115","1","0","1","0","0","0","0","0"
"2010-03-17","Ambry Genetics","United States","True","33.5934591835,-117.725200653","3","0","2","0","0","0","0","0"
"2010-03-17","Ankara University","Turkey","None","39.909736,32.871094","1","1","0","0","0","0","0","0"
"2010-03-17","ARK-Genomics Roslin Institute","United Kingdom","None","55.863119,-3.154283","1","0","1","0","0","0","0","0"
"2010-03-17","Australian Genome Research Facility","Australia","True","-27.499412,153.012664","3","1","2","0","0","0","0","0"
"2010-03-17","Australian National University","Australia","None","-35.2765763518,149.120411039","2","1","1","0","0","0","0","0"
"2010-03-17","Babraham Institute","United Kingdom","None","52.133524,0.204132","1","0","1","0","0","0","0","0"
"2010-03-17","Barts Genome Centre","United Kingdom","None","51.521562,-0.101624","1","0","1","0","0","0","0","0"
"2010-03-17","Baseclear","Netherlands","None","52.167457,4.474525","1","0","1","0","0","0","0","0"
"2010-03-17","BaseClear BV","Netherlands","True","52.1658774895,4.46534156799","1","0","1","0","0","0","0","0"
"2010-03-17","Baylor  University Medical Center at Dallas","United States","None","32.7875631534,-96.7782211304","1","0","0","0","0","0","1","0"
"2010-03-17","Beckman Coulter Genomics (formerly Agencourt)","United States","True","42.5765964028,-70.9157180786","6","3","1","0","0","0","2","0"
"2010-03-17","Beijing Institute of Genomics","China","True","39.5797259086,116.705566943","14","0","5","0","0","0","9","0"
"2010-03-17","BGI (formerly Beijing Genomics Institute)","China","None","22.59119,114.264035","32","1","30","0","0","0","1","0"
"2010-03-17","biocant","Portugal","True","40.3481751222,-8.61201095162","1","1","0","0","0","0","0","0"
